IC_ZUJ;NAZOV_ZUJ;IC_OKRES;IC_KRAJ;POINT_X;POINT_Y
501492;Blatn· na Ostrove;201;2;17.43929388;48.00191791
501506;Boheæov;201;2;17.69646919;47.90515287
501514;»akany;201;2;17.37313808;48.11540712
501522;Veæk˝ Meder;201;2;17.74914751;47.85772878
501531;»iliûsk· RadvaÚ;201;2;17.7060956;47.83148515
501549;Dobrohoöù;201;2;17.36115577;47.98670695
501557;Doln˝ Bar;201;2;17.70265062;47.96553397
501573;GabËÌkovo;201;2;17.5825521;47.87565199
501581;Holice;201;2;17.4776051;47.98946538
501590;Horn· PotÙÚ;201;2;17.53007001;48.05880949
501603;Horn˝ Bar;201;2;17.46147757;47.94593462
501611;Doln˝ ät·l;201;2;17.73707426;47.93484178
501620;Hubice;201;2;17.39841457;48.09585488
501638;Hviezdoslavov;201;2;17.35559797;48.07118696
501654;Jahodn·;201;2;17.71908557;48.0466814
501662;JanÌky;201;2;17.4068137;48.13894258
501671;Jurov·;201;2;17.52776965;47.93499037
501689;Kæ˙Ëovec;201;2;17.71004263;47.78716375
501697;KostolnÈ KraËany;201;2;17.57515282;47.96989493
501701;Kr·æoviËove KraËany;201;2;17.54759979;47.97928184
501719;K˙tniky;201;2;17.66722459;47.97673429
501727;Kvetoslavov;201;2;17.33887083;48.05130822
501735;Lehnice;201;2;17.46047764;48.05583651
501743;L˙Ë na Ostrove;201;2;17.51192433;47.96526709
501760;MedveÔov;201;2;17.66967874;47.79939964
501778;Mierovo;201;2;17.3914335;48.06489507
501786;Michal na Ostrove;201;2;17.52258296;48.02935881
501808;Nov˝ éivot;201;2;17.48261284;48.11404764
501816;Ohrady;201;2;17.70639519;48.00289505
501824;OkoË;201;2;17.81950206;47.91258873
501832;Oædza;201;2;17.40950698;48.07956686
501859;Orechov· PotÙÚ;201;2;17.57323922;48.05018918
501867;Pad·Ú;201;2;17.67132671;47.91642859
501875;Sap;201;2;17.58295958;47.82846627
501883;Pataö;201;2;17.66497433;47.86955313
501891;Rohovce;201;2;17.41674505;47.97742054
501905;äamorÌn;201;2;17.31178411;48.01977105
501913;ätvrtok na Ostrove;201;2;17.32586483;48.10430606
501921;TopoænÌky;201;2;17.80783896;47.96505908
501930;“·rad;201;2;17.62510559;47.83405249
501956;Trn·vka;201;2;17.4036039;48.01684287
501964;Trsten· na Ostrove;201;2;17.50483068;47.92020717
501972;Veæk· Paka;201;2;17.40026167;48.04125835
501981;VeækÈ Blahovo;201;2;17.60798426;48.05333385
501981;Vydrany;201;2;17.57574585;48.01698123
501999;Vojka nad Dunajom;201;2;17.39850683;47.95847647
502006;Vrak˙Ú;201;2;17.61110831;47.92776752
502014;Vydrany;201;2;17.62281749;48.04384777
502022;ZlatÈ Klasy;201;2;17.4381073;48.13384318
502031;Levice;402;4;18.64571686;48.20153383
502049;Bajka;402;4;18.50424697;48.15414458
502057;B·tovce;402;4;18.77439063;48.27730709
502065;Beöa;402;4;18.40376529;48.14863908
502073;Bielovce;402;4;18.76313885;47.9941014
502090;Bory;402;4;18.75057111;48.1914175
502103;Brhlovce;402;4;18.73769932;48.22099456
502111;»ajkov;402;4;18.61130943;48.3131984
502120;»aka;402;4;18.47197632;48.0386555
502154;Demandice;402;4;18.78780924;48.12170463
502162;DeviËany;402;4;18.68584248;48.32480881
502171;Doln· SeË;402;4;18.56711556;48.1855172
502189;DolnÈ Semerovce;402;4;18.85015275;48.11184908
502197;Doln˝ Pial;402;4;18.46277564;48.13021383
502201;Domadice;402;4;18.78223839;48.18256852
502219;Drûenice;402;4;18.69583004;48.27586367
502227;Farn·;402;4;18.50705345;48.00843611
502243;Hokovce;402;4;18.84708046;48.1574542
502251;Hontianska Vrbica;402;4;18.71396806;48.13905175
502260;Horn· SeË;402;4;18.5481507;48.20493626
502278;HornÈ Semerovce;402;4;18.86047989;48.1305592
502286;HornÈ Turovce;402;4;18.95803155;48.12618233
502294;Horn˝ Pial;402;4;18.44643883;48.15654
502324;Hronovce;402;4;18.64317398;48.00428414
502332;HronskÈ KæaËany;402;4;18.5771157;48.24041273
502341;HronskÈ Kosihy;402;4;18.59004011;48.26771208
502359;IÚa;402;4;18.42279233;48.18050594
502367;IpeæskÈ ⁄æany;402;4;19.03616613;48.13350317
502375;Ipeæsk˝ Sokolec;402;4;18.79146672;48.01520854
502383;JabloÚovce;402;4;18.79637833;48.32980976
502391;Jur nad Hronom;402;4;18.61758699;48.13471181
502413;Kaln· nad Hronom;402;4;18.43511418;48.26751275
502421;Koz·rovce;402;4;18.500688;48.31334148
502430;Krökany;402;4;18.67658385;48.22296638
502448;Kub·Úovo;402;4;18.80447889;48.05796932
502456;KukuËÌnov;402;4;18.69677416;48.08956136
502464;Kuraæany;402;4;18.55451614;47.98507251
502472;Keù;402;4;18.58403952;47.96351666
502481;Lok;402;4;18.47179349;48.1766924
502499;Lontov;402;4;18.77080723;48.04424508
502502;Lula;402;4;18.36448784;48.17135648
502511;M·laö;402;4;18.52972879;48.05476669
502537;MalÈ Ludince;402;4;18.70059536;47.98416463
502570;M˝tne Ludany;402;4;18.66282287;48.16335579
502588;Nov· Dedina;402;4;18.6480597;48.28238409
502596;Nov˝ Tekov;402;4;18.49003263;48.24061694
502600;N˝rovce;402;4;18.56978;48.01897506
502618;Ondrejovce;402;4;18.52164759;48.13413609
502626;Pastovce;402;4;18.74282553;47.96308963
502634;PeËenice;402;4;18.79552581;48.29830721
502642;Pl·öùovce;402;4;18.99845537;48.16396982
502651;PlavÈ Vozokany;402;4;18.46571612;48.07420717
502669;Podluûany;402;4;18.61920694;48.24811495
502677;Pohronsk˝ Ruskov;402;4;18.64633584;47.97586605
502693;Pukanec;402;4;18.71934226;48.36429908
502707;RybnÌk;402;4;18.56898302;48.31078323
502715;Santovka;402;4;18.80467437;48.150532
502723;Sazdice;402;4;18.79462433;48.08615483
502731;Sikenica;402;4;18.72489788;48.06648796
502740;Slatina;402;4;18.90629274;48.14774214
502758;Star˝ Hr·dok;402;4;18.63635096;48.15290367
502766;Star˝ Tekov;402;4;18.55045514;48.24397791
502782;äahy;402;4;18.95008382;48.07641144
502791;äalov;402;4;18.71940628;48.0135079
502804;äarovce;402;4;18.62170208;48.09949529
502812;Tehla;402;4;18.38207889;48.19587923
502821;TekovskÈ Luûany;402;4;18.52628647;48.09447288
502847;Tekovsk˝ Hr·dok;402;4;18.54604735;48.16505505
502863;TlmaËe;402;4;18.529966;48.28924561
502871;Tup·;402;4;18.90664014;48.11923353
502880;Tur·;402;4;18.575185;48.14504602
502898;Uhlisk·;402;4;18.73918402;48.40017166
502910;VeækÈ Ludince;402;4;18.50097925;47.96214444
502928;VeækÈ Turovce;402;4;18.95522856;48.10325228
502936;Veæk˝ œur;402;4;18.44006595;48.21187906
502944;Vyökovce nad Ipæom;402;4;18.85372566;48.07464314
502952;VyönÈ nad Hronom;402;4;18.59191736;48.16794365
502961;Zalaba;402;4;18.7039402;47.96231707
502979;ZbrojnÌky;402;4;18.70971604;48.11122105
502987;éeliezovce;402;4;18.61850375;48.05141029
502995;éemberovce;402;4;18.75738561;48.2537349
503002;éemliare;402;4;18.60826594;48.15031501
503011;NovÈ Z·mky;404;4;18.16364959;47.993363
503029;Andovce;404;4;18.09052826;47.98819994
503037;Bajtava;404;4;18.74240211;47.85335122
503045;B·nov;404;4;18.19170628;48.04531746
503053;BardoÚovo;404;4;18.42311894;48.11269558
503061;Bel·;404;4;18.58426984;47.82962434
503070;BeöeÚov;404;4;18.27114648;48.04503166
503088;BÌÚa;404;4;18.63675838;47.92453027
503096;Branovo;404;4;18.30596948;48.02304163
503100;Bruty;404;4;18.57237634;47.9170069
503118;»echy;404;4;18.37080588;48.03946015
503126;»ernÌk;404;4;18.23127751;48.16324634
503134;Dedinka;404;4;18.41211021;48.06661896
503151;Doln˝ Ohaj;404;4;18.26476121;48.07544259
503169;DubnÌk;404;4;18.39521294;47.95627414
503177;Dvory nad éitavou;404;4;18.27241807;47.98280841
503185;Gbelce;404;4;18.51091496;47.84363172
503193;Hul;404;4;18.2798983;48.10444331
503207;Chæaba;404;4;18.81182613;47.83370153
503215;Jasov·;404;4;18.43408976;47.98803062
503223;Jatov;404;4;18.0036232;48.1375948
503231;Kamenica nad Hronom;404;4;18.73446154;47.83090741
503240;KamenÌn;404;4;18.63957404;47.8868817
503258;Kamenn˝ Most;404;4;18.63924793;47.84694286
503266;Kmeùovo;404;4;18.27625113;48.16819681
503274;Kolta;404;4;18.41620134;48.0183359
503282;Komjatice;404;4;18.15926928;48.14495533
503291;KomoËa;404;4;18.04163326;47.9620672
503312;Leæa;404;4;18.77476764;47.85722793
503321;Lipov·;404;4;18.17341859;48.11766327
503339;ºub·;404;4;18.59643251;47.8569821
503347;Mal· nad Hronom;404;4;18.68313873;47.85732718
503355;MalÈ Kosihy;404;4;18.74264292;47.92640331
503363;MaÚa;404;4;18.29452111;48.15256459
503371;Michal nad éitavou;404;4;18.26899559;48.1861587
503380;Veæk˝ K˝r;404;4;18.14367256;48.17673634
503398;Mojzesovo;404;4;18.23483507;48.13672787
503401;Muûla;404;4;18.56969973;47.79325348
503436;Nov· Vieska;404;4;18.45624749;47.86806445
503452;Pal·rikovo;404;4;18.05952936;48.03630457
503461;BodÌky;201;2;17.46080933;47.91171366
503479;Podh·jska;404;4;18.34084594;48.10293664
503487;Pozba;404;4;18.38306597;48.11244246
503495;Radava;404;4;18.31296471;48.09321364
503509;Rastislavice;404;4;18.07480849;48.14038004
503517;R˙baÚ;404;4;18.39526639;47.92985718
503525;Salka;404;4;18.73397025;47.89026678
503533;Semerovo;404;4;18.34613046;48.00722981
503541;SikeniËka;404;4;18.69527568;47.9298032
503550;Strekov;404;4;18.40508161;47.88997936
503568;SvodÌn;404;4;18.50625688;47.90622278
503576;äarkan;404;4;18.56161341;47.85983459
503584;ät˙rovo;404;4;18.70575059;47.79631178
503592;äurany;404;4;18.16286063;48.0835387
503606;Tr·vnica;404;4;18.3459414;48.1420842
503614;Tvrdoöovce;404;4;18.0444575;48.09042168
503631;VeækÈ Lovce;404;4;18.34636822;48.0663974
503649;ZemnÈ;404;4;18.00669528;47.99394486
503665;Galanta;202;2;17.72647571;48.19924459
503673;Abrah·m;202;2;17.62060906;48.24745679
503681;Boldog;108;1;17.42931916;48.23673213
503690;»ierna Voda;202;2;17.63910218;48.12763463
503703;»ierny Brod;202;2;17.67770503;48.16076246
503711;Diakovce;405;4;17.81722625;48.13564068
503720;Dlh· nad V·hom;405;4;17.86301311;48.18177996
503746;DolnÈ Saliby;202;2;17.79237235;48.09295074
503754;Doln˝ Chot·r;202;2;17.85594106;47.98429034
503762;G·Ú;202;2;17.72032546;48.23260315
503771;HornÈ Saliby;202;2;17.74684808;48.11372412
503789;Hoste;202;2;17.64190148;48.26119354
503797;Hrub· Horöa;108;1;17.48065571;48.17745165
503801;Hrub˝ ä˙r;108;1;17.41723978;48.16841967
503819;Hurbanova Ves;108;1;17.44430348;48.15620109
503827;J·novce;202;2;17.52812351;48.18240986
503835;Jelka;202;2;17.5178876;48.14400269
503843;Kajal;202;2;17.78699278;48.18815304
503851;Kostoln· pri Dunaji;108;1;17.44493663;48.17407112
503860;Koö˙ty;202;2;17.65486019;48.17369588
503878;Kr·æov  Brod;202;2;17.84866239;48.049835
503878;Kr·æov Brod;202;2;17.79348735;48.05190664
503886;Kr·æov· nad V·hom;405;4;17.81435344;48.18572072
503894;Kr·æov· pri Senci;108;1;17.46518672;48.19457348
503924;Mostov·;202;2;17.69025631;48.13877424
503932;Neded;405;4;17.95082457;47.99351905
503959;Pata;202;2;17.82808652;48.27942921
503967;PustÈ Sady;202;2;17.82075413;48.30655348
503975;PustÈ ⁄æany;202;2;17.5583773;48.21865365
503983;Reca;108;1;17.45913305;48.22641988
503991;Selice;405;4;17.95529502;48.09057989
504009;SereÔ;202;2;17.7130657;48.2875063
504017;Sl·dkoviËovo;202;2;17.6303732;48.20285259
504025;äaæa;405;4;17.8939839;48.13288983
504033;äalgoËka;202;2;17.82165922;48.34367207
504041;äintava;202;2;17.77633915;48.2842445
504050;äoporÚa;202;2;17.83689797;48.2267521
504068;TeöedÌkovo;405;4;17.84350275;48.08833479
504076;Tom·öikovo;202;2;17.72168571;48.06833213
504084;Topoænica;202;2;17.80227883;48.16432892
504092;Trnovec nad V·hom;405;4;17.94890382;48.14908883
504106;Trstice;202;2;17.82098161;48.02023664
504114;V·hovce;202;2;17.783894;48.23728217
504122;Veæk· MaËa;202;2;17.68899557;48.24342703
504131;VeækÈ ⁄æany;202;2;17.57655015;48.1548023
504149;Veæk˝ Grob;202;2;17.51789681;48.24634803
504157;Vinohrady nad V·hom;202;2;17.76873416;48.31660473
504165;VlËany;405;4;17.92272313;48.02643655
504173;Vozokany;202;2;17.70257486;48.09738949
504181;Zemianske Sady;202;2;17.82632911;48.32786226
504190;éih·rec;405;4;17.89093395;48.06362796
504203;Senica;205;2;17.36444306;48.6779756
504211;BÌlkove Humence;205;2;17.24167128;48.58920983
504220;Borsk˝ Sv‰t˝ Jur;205;2;17.06395531;48.59649259
504238;Borsk˝ Mikul·ö;205;2;17.23270153;48.62397769
504254;Brestovec;303;3;17.55315963;48.79900952
504262;Brezov· pod Bradlom;303;3;17.54433593;48.66780974
504271;BrodskÈ;206;2;17.02291892;48.69472916
504289;Bukovec;303;3;17.49399649;48.70064951
504297;Cerov·;205;2;17.39208713;48.58056522
504319;»·ry;205;2;17.07763312;48.6647383
504327;»astkov;205;2;17.3601686;48.7546115
504335;DojË;205;2;17.25589965;48.68373854
504343;Dubovce;206;2;17.24294045;48.76395188
504351;Gbely;206;2;17.09420515;48.72775087
504360;HlbokÈ;205;2;17.40151878;48.65081269
504378;HolÌË;206;2;17.15172003;48.80352947
504386;Hradiöte pod Vr·tnom;205;2;17.49151659;48.62519254
504394;Chropov;206;2;17.35220854;48.79018903
504408;Chvojnica;303;3;17.40344933;48.79823958
504416;Jablonica;205;2;17.43330592;48.60049958
504424;Jablonka;303;3;17.61456615;48.72812587
504432;K·tov;206;2;17.16913836;48.83512184
504459;KopËany;206;2;17.10740975;48.77688195
504467;Koöarisk·;303;3;17.60723365;48.66707346
504475;Kov·lov;205;2;17.28183262;48.70976305
504483;Kov·lovec;206;2;17.31860814;48.79601734
504491;Kuklov;205;2;17.07982294;48.6294612
504513;K˙ty;205;2;17.00843578;48.65638462
504521;Lakö·rska Nov· Ves;205;2;17.16580739;48.57632061
504530;LetniËie;206;2;17.1809724;48.70809148
504548;Lopaöov;206;2;17.32545339;48.7559279
504556;MalÈ Lev·re;106;1;16.95609006;48.50484594
504564;Mokr˝ H·j;206;2;17.2510008;48.80829181
504572;Moravsk˝ Sv‰t˝ J·n;205;2;16.98646466;48.57191387
504581;Myjava;303;3;17.53605995;48.75027337
504599;OreskÈ;206;2;17.30416483;48.74362513
504602;OsuskÈ;205;2;17.45163495;48.63887799
504611;Petrova Ves;206;2;17.16377567;48.72462593
504629;PlaveckÈ Podhradie;106;1;17.27360994;48.48106392
504637;Plaveck˝ Mikul·ö;106;1;17.30100395;48.50954893
504645;Plaveck˝ Peter;205;2;17.32407777;48.5340889
504653;PodbranË;205;2;17.455039;48.73173925
504661;Polianka;303;3;17.58121009;48.7190755
504670;PopudinskÈ MoËidæany;206;2;17.21675646;48.78425378
504688;Poriadie;303;3;17.60907983;48.77896282
504696;PriepasnÈ;303;3;17.58372865;48.69286166
504700;Prietrû;205;2;17.45555317;48.68527192
504718;Prietrûka;206;2;17.20751325;48.80672842
504726;Prievaly;205;2;17.34614334;48.55975956
504734;Radimov;206;2;17.20643949;48.75473963
504742;Radoöovce;206;2;17.28128182;48.77038702
504769;RohoûnÌk;106;1;17.19489493;48.43962314
504777;Rovensko;205;2;17.37318486;48.71733283
504793;RudnÌk;303;3;17.62669288;48.75722763
504815;Skalica;206;2;17.25661072;48.83812328
504823;SmolinskÈ;205;2;17.11762128;48.68279258
504831;Smrd·ky;205;2;17.30603274;48.72356469
504840;Sobotiöte;205;2;17.40167903;48.74095425
504858;Soloönica;106;1;17.23671113;48.46152096
504866;Star· Myjava;303;3;17.59654813;48.8082995
504874;Studienka;106;1;17.13293501;48.52826006
504882;äajdÌkove Humence;205;2;17.28912628;48.65190786
504891;äaötÌn - Str·ûe;205;2;17.14397301;48.6362985
504904;ätefanov;205;2;17.2004492;48.67697325
504912;Trnovec;206;2;17.18952099;48.79533536
504939;UnÌn;206;2;17.22198935;48.72588324
504947;VeækÈ Lev·re;106;1;17.0030779;48.50723491
504963;Vr·diöte;206;2;17.19588364;48.82599624
504971;Vrbovce;303;3;17.4702272;48.80054058
504980;Z·vod;106;1;17.04647839;48.54324926
504998;TopoæËany;406;4;18.15751539;48.55400354
505021;LipovnÌk;406;4;18.0089492;48.57402524
505048;Ludanice;406;4;18.11194644;48.50456773
505056;ºutov;301;3;18.28783158;48.78889816
505064;Luûany;406;4;18.01062495;48.51779341
505072;Mal· Hradn·;301;3;18.16124953;48.75702766
505102;MalÈ Hoste;301;3;18.13675602;48.70159088
505129;MalÈ KrsteÚany;305;3;18.43653202;48.64563918
505137;MalÈ RipÚany;406;4;17.97590111;48.47661798
505153;Miezgovce;301;3;18.32033862;48.71631958
505170;Nadlice;305;3;18.24601019;48.62587758
505196;Nedanovce;305;3;18.29450745;48.58708635
505200;Nedaöovce;301;3;18.32772666;48.66567041
505226;NemeËky;406;4;18.1119453;48.67834574
505234;Nitrianska Blatnica;406;4;17.96857632;48.56199144
505242;Nitrianska Streda;406;4;18.20145253;48.51056314
505251;Norovce;406;4;18.17601485;48.63333361
505277;Omastin·;301;3;18.40608426;48.78583102
505285;Oponice;406;4;18.15007936;48.45738938
505307;Ostratice;305;3;18.29076197;48.64920787
505315;Partiz·nske;305;3;18.36046971;48.63565352
505323;Paûiù;305;3;18.44908079;48.62590698
505331;PeËeÚany;301;3;18.22402917;48.67700158
505340;Podhradie;406;4;18.04213774;48.6581579
505358;Podluûany;301;3;18.25546453;48.78769927
505374;Praöice;406;4;18.09382027;48.66020895
505382;Pravotice;301;3;18.29301806;48.6786211
505404;Preseæany;406;4;18.08648646;48.45270804
505412;Prusy;301;3;18.26568291;48.75779736
505421;Radoöina;406;4;17.92765505;48.55466009
505439;RajËany;406;4;18.23136077;48.6152064
505447;Ruskovce;301;3;18.19077994;48.74360129
505455;Rybany;301;3;18.25972906;48.66950456
505463;SkaËany;305;3;18.38099738;48.66075609
505471;Slatina nad Bebravou;301;3;18.27151673;48.8371115
505480;Slatinka nad Bebravou;301;3;18.25869396;48.8643426
505498;SolËany;406;4;18.22551318;48.52038811
505510;S˙lovce;406;4;18.17968176;48.46418196
505536;äalgovce;406;4;17.91061915;48.5218522
505544;äÌpkov;301;3;18.29804193;48.86006824
505552;äiöov;301;3;18.17832903;48.65616333
505561;Tes·re;406;4;18.07212503;48.60917153
505579;Timoradza;301;3;18.24630689;48.81295148
505595;Trebichava;301;3;18.31148353;48.82590362
505617;Tvrdomestice;406;4;18.1389409;48.65085244
505625;Uhrovec;301;3;18.34817387;48.73330998
505630;UhrovskÈ Podhradie;301;3;18.404887;48.75790313
505641;Urmince;406;4;18.10071818;48.53453535
505676;VeækÈ Dvorany;406;4;18.07490755;48.55178478
505684;VeækÈ Hoste;301;3;18.15854839;48.68148969
505692;VeækÈ Chlievany;301;3;18.22627433;48.69819242
505706;VeækÈ KröteÚany;305;3;18.42639365;48.66172224
505714;VeækÈ RipÚany;406;4;17.96231501;48.50473624
505722;VeækÈ Uherce;305;3;18.45549346;48.58754841
505731;Veæk˝ KlÌû;305;3;18.39122508;48.54065437
505749;Veluöovce;406;4;18.10354083;48.62266502
505757;Vozokany;406;4;17.99064014;48.56838547
505765;VysoËany;301;3;18.32247221;48.68441508
505773;Z·vada;406;4;18.07092533;48.63501905
505790;ZlatnÌky;301;3;18.06405167;48.72516863
505803;éabokreky nad Nitrou;305;3;18.30568635;48.62550816
505811;éitn· - Radiöa;301;3;18.34912329;48.77734214
505838;AdamovskÈ  Kochanovce;309;3;17.91673782;48.86368984
505846;Beckov;304;3;17.90911101;48.78583955
505854;Bobot;309;3;18.20213867;48.81436143
505871;Boö·ca;304;3;17.84698885;48.83770292
505889;Brunovce;304;3;17.85037052;48.67875536
505897;Bzince pod Javorinou;304;3;17.7502229;48.80610114
505901;»achtice;304;3;17.78722788;48.7142975
505919;»astkovce;304;3;17.77141632;48.68721757
505935;Doln· Poruba;309;3;18.29300075;48.90329582
505943;Doln· S˙Ëa;309;3;18.02007568;48.96507657
505951;DolnÈ Srnie;304;3;17.81833273;48.79532894
505960;Drietoma;309;3;17.93069549;48.92131185
505978;Dubodiel;309;3;18.08869456;48.76099073
505994;HÙrka nad V·hom;304;3;17.93592694;48.7099324
506001;Horn· Streda;304;3;17.84856385;48.65634217
506010;Horn· S˙Ëa;309;3;17.95772974;48.98718705
506028;HorÚany;309;3;18.20174912;48.78305184
506036;HornÈ Srnie;309;3;18.06419755;49.01613778
506044;Hrabovka;309;3;18.04036178;48.93480059
506052;Hr·dok;304;3;17.9645651;48.68580788
506061;Hrachoviöte;304;3;17.7235992;48.7126393
506079;HraönÈ;303;3;17.66895815;48.75127858
506087;Chocholn· - VelËice;309;3;17.87199987;48.90712802
506095;Ivanovce;309;3;17.90003537;48.82905157
506109;K·lnica;304;3;17.9581113;48.74943642
506125;KoËovce;304;3;17.88892588;48.74830597
506133;Kostoln· - Z·rieËie;309;3;17.96969403;48.87670266
