STREET;ZUJ;ID_STREET;POINT_X;POINT_Y
Flˆglova;528595;528595061;17.10571825;48.15126187
Flori·nske n·mestie;528595;528595062;17.11820321;48.15239076
FraÚa Kr·æa;528595;528595063;17.10491942;48.15328175
Franc˙zskych partiz·nov;528595;528595065;17.09469871;48.1539137
Gajarsk·;529320;529320050;17.14120514;48.15810133
Galaktick·;529320;529320051;17.17375133;48.16070413
Gallova;529320;529320052;17.16719152;48.17711732
Galsk·;529401;529401037;16.99781203;48.17689128
Gemersk·;529320;529320055;17.13630472;48.1508703
Gol·Úova;529320;529320056;17.17065365;48.15167214
Gorazdova;528595;528595073;17.0950612;48.16032429
Gregorovej;529320;529320057;17.17123513;48.15241794
GunduliËova;528595;528595076;17.1051651;48.1503621
Hab·nska;529401;529401039;17.03063261;48.15292994
Habursk·;529320;529320060;17.15217937;48.16257072
Hadia cesta;529401;529401005;16.98242451;48.17974736
Hanulova;529389;529389022;17.04064636;48.1787603
HavlÌËkova;528595;528595077;17.09998936;48.15546867
Haydnova;528595;528595078;17.09012821;48.15235554
Herlianska;529320;529320064;17.15622397;48.15895158
Hlav·Ëikova;529397;529397022;17.04466535;48.15507345
Hlbok· cesta;528595;528595082;17.10120947;48.15626861
Hlivov·;529397;529397086;17.06249654;48.15727838
Hlohov·;529338;529338022;17.21064394;48.15343116
HluËÌnska;529346;529346043;17.12777488;48.16111631
Hod·lova;529397;529397023;17.05549948;48.15307562
Holekova;528595;528595084;17.10863537;48.15656654
Holubyho;528595;528595086;17.0946555;48.15033124
Hrebendova;528595;528595088;17.08100251;48.15035294
HriÚovsk·;528595;528595089;17.08278639;48.15771038
HroboÚova;528595;528595090;17.08824875;48.16170506
Hudecova;529397;529397024;17.0566014;48.15124211
H˙öËavova;529389;529389025;17.05293113;48.17978971
ChlumeckÈho;529320;529320070;17.17230282;48.15653933
Chorv·tska;528595;528595096;17.12446516;48.15130081
IhliËnat·;529338;529338027;17.21637938;48.15115911
IlkoviËova;529397;529397025;17.07445538;48.15222943
Imricha Karvaöa;528595;528595097;17.11521361;48.15233235
IskernÌkov·;529397;529397087;17.04218798;48.15289478
Ivana Horv·tha;529320;529320071;17.17451858;48.15643258
Jozefa CÌgera HronskÈho;529346;529346053;17.12083511;48.16032921
Jozefa Kronera;528595;528595349;17.11155287;48.1555439
Jadrov·;529320;529320074;17.16633663;48.15909313
JamnickÈho;529397;529397026;17.0460854;48.15051803
J·na Stanislava;529397;529397027;17.05229344;48.1544251
J·noöÌkova;528595;528595101;17.09348506;48.16250468
Janotova;529397;529397028;17.05691344;48.1501651
J·nska;528595;528595102;17.11160877;48.15051691
JaöÌkova;529320;529320079;17.16689505;48.15573516
JÈgÈho;529320;529320080;17.13590011;48.15720851
JelaËiËova;529320;529320081;17.12902438;48.15571513
Jelenia;528595;528595107;17.11105172;48.15716121
Jesienkov·;529338;529338084;17.18610572;48.15253136
Jiskrova;529346;529346064;17.12230665;48.15734528
Jozefsk·;528595;528595109;17.11028302;48.15077269
Jurigovo n·m.;529397;529397081;17.05981108;48.15194007
JustiËn·;528595;528595110;17.12430441;48.15236176
KalinËiakova;529346;529346069;17.13462335;48.16100744
Kapuöianska;529320;529320084;17.16013532;48.15865418
Karlovesk·;529397;529397030;17.05197058;48.15829107
Kempelenova;529397;529397031;17.05460288;48.15732442
Kl·tovsk·;529320;529320090;17.16722008;48.17644498
Kl·tovsk·;529346;529346070;17.16611546;48.17738502
KlimkoviËova;529389;529389034;17.04121674;48.17943552
Klincov·;529320;529320091;17.14091505;48.15444716
Kmeùovo n·mestie;528595;528595120;17.12141302;48.15500811
Koceæova;529320;529320093;17.1306391;48.15357533
Koh˙tova;529320;529320094;17.13691854;48.15152306
KolÌskova;529397;529397032;17.05334619;48.15116108
Kom·rnick·;529320;529320096;17.15556924;48.15796526
Komin·rska;529346;529346073;17.12357484;48.15956185
Komonicov·;529397;529397088;17.04077715;48.15186762
KorabinskÈho;528595;528595350;17.08354432;48.15362016
Kosodrevinov·;529338;529338033;17.21695979;48.15002933
KostlivÈho;529320;529320100;17.16806476;48.15196407
Kov·Ëska;529346;529346074;17.12374314;48.15712764
Krajn·;529320;529320104;17.17373814;48.17875926
Kraskova;529346;529346076;17.12088578;48.16202554
KrËmÈryho;528595;528595131;17.09173202;48.16191383
Kremeæsk·;529401;529401009;16.98362773;48.17638119
Kriv·;528595;528595132;17.09229339;48.16132891
Kriûkova;528595;528595133;17.10556934;48.15434377
KrÌûna;528595;528595134;17.12239775;48.15381735
KrÌûna;529320;529320107;17.12653885;48.1570186
Krokusov·;529338;529338085;17.18507026;48.15287277
KulÌökova;529320;529320109;17.13002234;48.15148913
KupeckÈho;529320;529320111;17.12999083;48.155245
Kuzm·nyho;528595;528595138;17.1033403;48.15014955
KvaËalova;529320;529320322;17.13097603;48.15222311
Kvetn·;529320;529320112;17.13288062;48.15322645
K˝ËerskÈho;528595;528595139;17.11019246;48.15486966
Kysuck·;529346;529346082;17.07452792;48.17696176
Lackova;529397;529397035;17.04913313;48.15925478
Ladislava S·ru;529397;529397036;17.06058037;48.15079537
ºadov·;528595;528595140;17.11639017;48.15770729
Langsfeldova;528595;528595143;17.09699288;48.16183042
ºanov·;529320;529320114;17.15907044;48.15638859
LauËekova;528595;528595144;17.09823303;48.15872941
Legion·rska;528595;528595147;17.12253553;48.15663744
LehotskÈho;528595;528595148;17.11332102;48.15519246
Leknov·;529338;529338035;17.21325334;48.1518616
Lermontovova;528595;528595149;17.10494057;48.15108266
Lesn·;528595;528595150;17.09403523;48.15915338
Leökova;528595;528595151;17.10792266;48.15438003
Levanduæov·;529338;529338036;17.19907108;48.15017793
Lev·rska;529397;529397038;17.04747937;48.16183471
Levick·;529320;529320115;17.12731503;48.15700211
LipskÈho;529389;529389040;17.05136426;48.17951452
LÌöËie nivy;529320;529320119;17.14083284;48.15710501
LÌöËie ˙dolie;529397;529397039;17.05688555;48.15851541
Litovsk·;529397;529397040;17.0710915;48.15609137
LopenÌcka;529346;529346094;17.11475586;48.17649072
