"","EST","res","perc_res","dPSQ","Xlok","Garsonka","PocetIzieb","vlast","park_garaz","vytah","rok","podlazie","stav","konstr","vybav","stary_rek","RozlohaIzby","balkon_rozl","lodzia_rozl","terasa_rozl","wp"
"299",1752.03149262178,161.753714844002,10.1714126364787,1590.27777777778,"529320282","0","3","osobne","0","0","uplnenovy","ine","ciast_rek","panel","na","0",24,0,0,0,1
"385",2207.60960891198,-4.51160320923464,-0.203949186170881,2212.12121212121,"529346135","1","2","osobne","0","0","socikstary","ine","pov_stav","tehla","na","0",16.5,0,0,0,1
"192",1142.97760426935,-326.140042789476,-22.1997226323167,1469.11764705882,"545333","0","3","osobne","0","0","sociknovy","ine","kompl_rek","panel","na","0",22.67,0.088,0,0,1
"215",1811.39653666406,-84.1258513956448,-4.43813546732929,1895.5223880597,"529460","0","3","osobne","0","1","sociknovy","ine","kompl_rek","panel","na","0",22.33,0,0,0,1
"193",1556.38940439289,-34.5196865162038,-2.16980886673281,1590.90909090909,"529460014","0","3","osobne","0","0","stary","ine","pov_stav","panel","na","0",22,0,0,0,1
"330",1377.83796380433,36.5588940368875,2.72567393773067,1341.27906976744,"508217","0","4","osobne","0","0","uplnenovy","ine","novo","zmies","na","0",21.5,0,0,0,1
"124",1660.76106918347,-63.204448057905,-3.66622460981947,1723.96551724138,"529460075","0","2","osobne","0","1","sociknovy","ine","ciast_rek","panel","na","0",29,0,0.069,0,1
"56",1449.44641359274,-144.303586407262,-9.05434267653407,1593.75,"508179","0","1","osobne","0","1","socikstary","ine","pov_stav","tehla","na","0",32,0,0,0,1
"212",1604.30501811054,32.8764466819662,2.09213751612512,1571.42857142857,"529460034","0","3","osobne","0","1","sociknovy","ine","ciast_rek","panel","standard","0",23.33,0,0.043,0,1
"153",2178.14638616868,-437.238229215938,-16.7179322935506,2615.38461538462,"528595001","0","2","osobne","0","1","sociknovy","ine","ciast_rek","zmies","na","0",26,0.058,0,0,1
